playerID,playerName,team,position,pts_std,pts_ppr,pts_half_ppr,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec_tgt,rec,rec_yd,rec_td,off_snp,opponent,week_num,ease_factor
6786,CeeDee Lamb,DAL,WR,11.0,18.0,14.5,,,,,,,,,13.0,7.0,110.0,,56.0,PHI,1,0.894
11584,Bucky Irving,TB,RB,10.5,14.5,12.5,,,,,,14.0,37.0,,4.0,4.0,8.0,1.0,44.0,ATL,1,1.012
6783,Jerry Jeudy,CLE,WR,6.6,11.6,9.1,,,,,,,,,8.0,5.0,66.0,,67.0,CIN,1,1.111
9504,Kayshon Boutte,NE,WR,10.3,16.3,13.3,,,,,,,,,8.0,6.0,103.0,,58.0,LV,1,1.101
12507,Omarion Hampton,LAC,RB,6.1,8.1,7.1,,,,,,15.0,48.0,,2.0,2.0,13.0,,52.0,KC,1,0.891
7553,Kyle Pitts,ATL,TE,5.9,12.9,9.4,,,,,,,,,8.0,7.0,59.0,,59.0,TB,1,1.065
19,Joe Flacco,CIN,QB,14.2,14.2,14.2,45.0,31.0,290.0,1.0,2.0,2.0,6.0,,,,,,76.0,CLE,1,1.022
4054,Mo Alie-Cox,IND,TE,2.0,3.0,2.5,,,,,,,,,1.0,1.0,20.0,,33.0,MIA,1,1.359
8698,Jake Tonges,SF,TE,7.5,10.5,9.0,,,,,,,,,3.0,3.0,15.0,1.0,30.0,SEA,1,1.281
3294,Dak Prescott,DAL,QB,7.8,7.8,7.8,34.0,21.0,188.0,,,1.0,3.0,,,,,,61.0,PHI,1,0.869
421,Matthew Stafford,LAR,QB,13.6,13.6,13.6,29.0,21.0,245.0,1.0,,4.0,-2.0,,,,,,60.0,HOU,1,0.778
8134,Khalil Shakir,BUF,WR,6.4,12.4,9.4,,,,,,,,,9.0,6.0,64.0,,60.0,BAL,1,1.213
7828,Noah Gray,KC,TE,0.3,1.3,0.8,,,,,,,,,1.0,1.0,3.0,,25.0,LAC,1,0.917
5995,Justice Hill,BAL,RB,-1.1,-0.1,-0.6,,,,,,2.0,-14.0,,2.0,1.0,3.0,,23.0,BUF,1,1.148
12517,Colston Loveland,CHI,TE,1.2,3.2,2.2,,,,,,,,,2.0,2.0,12.0,,38.0,MIN,1,1.109
8138,James Cook,BUF,RB,16.2,21.2,18.7,,,,,,13.0,44.0,1.0,5.0,5.0,58.0,,48.0,BAL,1,1.174
8119,Jahan Dotson,PHI,WR,5.9,8.9,7.4,,,,,,,,,3.0,3.0,59.0,,29.0,DAL,1,1.461
7049,Jauan Jennings,SF,WR,1.6,3.6,2.6,,,,,,,,,5.0,2.0,16.0,,50.0,SEA,1,0.97
8136,Rachaad White,TB,RB,1.6,2.6,2.1,,,,,,2.0,14.0,,1.0,1.0,2.0,,14.0,ATL,1,1.012
11610,Malik Washington,MIA,WR,2.9,4.9,3.9,,,,,,1.0,9.0,,5.0,2.0,20.0,,28.0,IND,1,1.163
4943,Sam Darnold,SEA,QB,5.4,5.4,5.4,23.0,16.0,150.0,,,2.0,14.0,,,,,,52.0,SF,1,1.057
10222,Jayden Reed,GB,WR,10.5,13.5,12.0,,,,,,,,,5.0,3.0,45.0,1.0,18.0,DET,1,1.06
11370,Chris Brooks,GB,RB,0.3,1.3,0.8,,,,,,1.0,1.0,,1.0,1.0,2.0,,9.0,DET,1,0.781
3269,Chris Moore,WAS,WR,3.4,4.4,3.9,,,,,,,,,1.0,1.0,34.0,,19.0,NYG,1,1.056
9488,Jaxon Smith-Njigba,SEA,WR,10.4,19.4,14.9,,,,,,,,,13.0,9.0,124.0,,40.0,SF,1,1.03
11571,Isaiah Davis,NYJ,RB,1.8,1.8,1.8,,,,,,2.0,18.0,,,,,,8.0,PIT,1,0.948
7526,Jaylen Waddle,MIA,WR,3.0,7.0,5.0,,,,,,,,,5.0,4.0,30.0,,31.0,IND,1,1.163
2197,Brandin Cooks,NO,WR,2.6,5.6,4.1,,,,,,,,,4.0,3.0,26.0,,57.0,ARI,1,1.062
