week,team,opponent
1,PHI,DAL
1,LAC,KC
1,ATL,TB
1,CLE,CIN
1,IND,MIA
1,NE,LV
1,NO,ARI
1,NYJ,PIT
1,WSH,NYG
1,JAX,CAR
1,DEN,TEN
1,SEA,SF
1,GB,DET
1,LAR,HOU
1,BUF,BAL
1,CHI,MIN
2,GB,WSH
2,CIN,JAX
2,DAL,NYG
2,DET,CHI
2,TEN,LAR
2,MIA,NE
2,NO,SF
2,NYJ,BUF
2,PIT,SEA
2,BAL,CLE
2,IND,DEN
2,ARI,CAR
2,KC,PHI
2,MIN,ATL
2,HOU,TB
2,LV,LAC
3,BUF,MIA
3,CLE,GB
3,TEN,IND
3,MIN,CIN
3,NE,PIT
3,PHI,LAR
3,TB,NYJ
3,WSH,LV
3,CAR,ATL
3,JAX,HOU
3,LAC,DEN
3,SEA,NO
3,CHI,DAL
3,SF,ARI
3,NYG,KC
3,BAL,DET
4,ARI,SEA
4,PIT,MIN
4,ATL,WSH
4,BUF,NO
4,DET,CLE
4,NE,CAR
4,NYG,LAC
4,TB,PHI
4,HOU,TEN
4,LAR,IND
4,SF,JAX
4,KC,BAL
4,LV,CHI
4,DAL,GB
4,MIA,NYJ
4,DEN,CIN
5,LAR,SF
5,CLE,MIN
5,IND,LV
5,NO,NYG
5,NYJ,DAL
5,PHI,DEN
5,CAR,MIA
5,BAL,HOU
5,ARI,TEN
5,SEA,TB
5,CIN,DET
5,LAC,WSH
5,BUF,NE
5,JAX,KC
6,NYG,PHI
6,NYJ,DEN
6,IND,ARI
6,MIA,LAC
6,NO,NE
6,PIT,CLE
6,CAR,DAL
6,JAX,SEA
6,BAL,LAR
6,LV,TEN
6,GB,CIN
6,TB,SF
6,KC,DET
6,ATL,BUF
6,WSH,CHI
7,CIN,PIT
7,JAX,LAR
7,CHI,NO
7,CLE,MIA
7,TEN,NE
7,KC,LV
7,MIN,PHI
7,NYJ,CAR
7,DEN,NYG
7,LAC,IND
7,DAL,WSH
7,ARI,GB
7,SF,ATL
7,DET,TB
7,SEA,HOU
8,LAC,MIN
8,ATL,MIA
8,CIN,NYJ
8,NE,CLE
8,PHI,NYG
8,CAR,BUF
8,BAL,CHI
8,HOU,SF
8,NO,TB
8,DEN,DAL
8,IND,TEN
8,PIT,GB
8,KC,WSH
9,MIA,BAL
9,CIN,CHI
9,DET,MIN
9,GB,CAR
9,TEN,LAC
9,NE,ATL
9,NYG,SF
9,PIT,IND
9,HOU,DEN
9,LV,JAX
9,LAR,NO
9,BUF,KC
9,WSH,SEA
9,DAL,ARI
10,GB,PHI
10,DEN,LV
10,IND,ATL
10,CHI,NYG
10,MIA,BUF
10,MIN,BAL
10,NYJ,CLE
10,TB,NE
10,CAR,NO
10,HOU,JAX
10,SEA,ARI
10,SF,LAR
10,WSH,DET
10,LAC,PIT
11,NE,NYJ
11,MIA,WSH
11,ATL,CAR
11,BUF,TB
11,TEN,HOU
11,MIN,CHI
11,NYG,GB
11,PIT,CIN
11,JAX,LAC
11,LAR,SEA
11,ARI,SF
11,CLE,BAL
11,DEN,KC
11,PHI,DET
11,LV,DAL
1,DAL,PHI
1,KC,LAC
1,TB,ATL
1,CIN,CLE
1,MIA,IND
1,LV,NE
1,ARI,NO
1,PIT,NYJ
1,NYG,WSH
1,CAR,JAX
1,TEN,DEN
1,SF,SEA
1,DET,GB
1,HOU,LAR
1,BAL,BUF
1,MIN,CHI
2,WSH,GB
2,JAX,CIN
2,NYG,DAL
2,CHI,DET
2,LAR,TEN
2,NE,MIA
2,SF,NO
2,BUF,NYJ
2,SEA,PIT
2,CLE,BAL
2,DEN,IND
2,CAR,ARI
2,PHI,KC
2,ATL,MIN
2,TB,HOU
2,LAC,LV
3,MIA,BUF
3,GB,CLE
3,IND,TEN
3,CIN,MIN
3,PIT,NE
3,LAR,PHI
3,NYJ,TB
3,LV,WSH
3,ATL,CAR
3,HOU,JAX
3,DEN,LAC
3,NO,SEA
3,DAL,CHI
3,ARI,SF
3,KC,NYG
3,DET,BAL
4,SEA,ARI
4,MIN,PIT
4,WSH,ATL
4,NO,BUF
4,CLE,DET
4,CAR,NE
4,LAC,NYG
4,PHI,TB
4,TEN,HOU
4,IND,LAR
4,JAX,SF
4,BAL,KC
4,CHI,LV
4,GB,DAL
4,NYJ,MIA
4,CIN,DEN
5,SF,LAR
5,MIN,CLE
5,LV,IND
5,NYG,NO
5,DAL,NYJ
5,DEN,PHI
5,MIA,CAR
5,HOU,BAL
5,TEN,ARI
5,TB,SEA
5,DET,CIN
5,WSH,LAC
5,NE,BUF
5,KC,JAX
6,PHI,NYG
6,DEN,NYJ
6,ARI,IND
6,LAC,MIA
6,NE,NO
6,CLE,PIT
6,DAL,CAR
6,SEA,JAX
6,LAR,BAL
6,TEN,LV
6,CIN,GB
6,SF,TB
6,DET,KC
6,BUF,ATL
6,CHI,WSH
7,PIT,CIN
7,LAR,JAX
7,NO,CHI
7,MIA,CLE
7,NE,TEN
7,LV,KC
7,PHI,MIN
7,CAR,NYJ
7,NYG,DEN
7,IND,LAC
7,WSH,DAL
7,GB,ARI
7,ATL,SF
7,TB,DET
7,HOU,SEA
8,MIN,LAC
8,MIA,ATL
8,NYJ,CIN
8,CLE,NE
8,NYG,PHI
8,BUF,CAR
8,CHI,BAL
8,SF,HOU
8,TB,NO
8,DAL,DEN
8,TEN,IND
8,GB,PIT
8,WSH,KC
9,BAL,MIA
9,CHI,CIN
9,MIN,DET
9,CAR,GB
9,LAC,TEN
9,ATL,NE
9,SF,NYG
9,IND,PIT
9,DEN,HOU
9,JAX,LV
9,NO,LAR
9,KC,BUF
9,SEA,WSH
9,ARI,DAL
10,PHI,GB
10,LV,DEN
10,ATL,IND
10,NYG,CHI
10,BUF,MIA
10,BAL,MIN
10,CLE,NYJ
10,NE,TB
10,NO,CAR
10,JAX,HOU
10,ARI,SEA
10,LAR,SF
10,DET,WSH
10,PIT,LAC
11,NYJ,NE
11,WSH,MIA
11,CAR,ATL
11,TB,BUF
11,HOU,TEN
11,CHI,MIN
11,GB,NYG
11,CIN,PIT
11,LAC,JAX
11,SEA,LAR
11,SF,ARI
11,BAL,CLE
11,KC,DEN
11,DET,PHI
11,DAL,LV
