playerID,playerName,team,position,opponent,week_num,rec_tgt_roll,rush_att_roll,off_snp_roll,ease_roll
10213,Tre Tucker,LV,WR,NE,1,3.0,,57.0,1.2
10213,Tre Tucker,LV,WR,LAC,2,5.5,1.0,60.5,1.0
10213,Tre Tucker,LV,WR,WAS,3,6.7,1.0,61.0,1.0
10213,Tre Tucker,LV,WR,CHI,4,6.3,1.3,59.0,1.1
10213,Tre Tucker,LV,WR,IND,5,5.7,1.3,57.7,1.2
10213,Tre Tucker,LV,WR,TEN,6,4.3,1.5,55.7,1.2
10213,Tre Tucker,LV,WR,KC,7,5.7,1.0,49.0,1.0
10213,Tre Tucker,LV,WR,JAX,9,5.0,,49.7,0.9
10214,Davis Allen,LAR,TE,HOU,1,2.0,,22.0,0.8
10214,Davis Allen,LAR,TE,TEN,2,1.5,,23.5,0.8
10214,Davis Allen,LAR,TE,PHI,3,1.3,,24.0,0.8
10214,Davis Allen,LAR,TE,IND,4,1.0,,24.0,1.0
10214,Davis Allen,LAR,TE,SF,5,1.3,,29.3,1.1
10214,Davis Allen,LAR,TE,BAL,6,1.7,,28.0,1.1
10214,Davis Allen,LAR,TE,JAX,7,1.7,,32.7,1.0
10214,Davis Allen,LAR,TE,NO,9,2.3,,34.7,1.0
10218,Xavier Hutchinson,HOU,WR,LAR,1,2.0,1.0,43.0,1.0
10218,Xavier Hutchinson,HOU,WR,TB,2,2.5,1.0,35.5,1.1
10218,Xavier Hutchinson,HOU,WR,JAX,3,2.7,1.0,36.7,1.0
10218,Xavier Hutchinson,HOU,WR,TEN,4,3.0,,38.3,1.0
10218,Xavier Hutchinson,HOU,WR,BAL,5,3.0,,44.7,1.0
10218,Xavier Hutchinson,HOU,WR,SEA,7,3.3,,51.3,1.1
10218,Xavier Hutchinson,HOU,WR,SF,8,4.3,,54.3,1.1
10218,Xavier Hutchinson,HOU,WR,DEN,9,5.0,,54.0,0.9
10219,Chris Rodriguez,WAS,RB,LV,3,,11.0,22.0,1.1
10219,Chris Rodriguez,WAS,RB,ATL,4,,9.0,21.0,1.1
10219,Chris Rodriguez,WAS,RB,LAC,5,,7.7,19.0,1.1
10219,Chris Rodriguez,WAS,RB,DAL,7,,5.0,14.7,1.1
10219,Chris Rodriguez,WAS,RB,KC,8,,3.0,8.7,1.1
10219,Chris Rodriguez,WAS,RB,SEA,9,,5.3,11.0,1.0
10222,Jayden Reed,GB,WR,DET,1,5.0,,18.0,1.1
10226,Andrei Iosivas,CIN,WR,JAX,2,5.0,,58.0,0.9
10226,Andrei Iosivas,CIN,WR,DEN,4,3.0,1.0,50.5,0.8
10226,Andrei Iosivas,CIN,WR,DET,5,4.3,1.0,51.7,0.9
10226,Andrei Iosivas,CIN,WR,GB,6,4.0,1.0,52.7,1.0
10226,Andrei Iosivas,CIN,WR,PIT,7,5.0,,56.0,1.2
10226,Andrei Iosivas,CIN,WR,CHI,9,5.0,1.0,57.0,1.3
10228,Charlie Jones,CIN,WR,CHI,9,,,,1.3
10229,Rashee Rice,KC,WR,LV,7,10.0,,33.0,1.1
10229,Rashee Rice,KC,WR,WAS,8,9.5,2.0,46.0,1.1
10229,Rashee Rice,KC,WR,BUF,9,8.7,2.0,47.0,1.1
10231,Elijah Higgins,ARI,TE,NO,1,2.0,,20.0,1.1
10231,Elijah Higgins,ARI,TE,CAR,2,2.5,,21.0,1.1
10231,Elijah Higgins,ARI,TE,SF,3,2.0,,17.3,1.1
10231,Elijah Higgins,ARI,TE,TEN,5,2.0,,17.3,1.0
10231,Elijah Higgins,ARI,TE,IND,6,1.7,,21.0,1.1
10231,Elijah Higgins,ARI,TE,GB,7,1.7,,28.3,1.1
10231,Elijah Higgins,ARI,TE,DAL,9,2.0,,30.7,1.2
10232,Michael Wilson,ARI,WR,NO,1,4.0,,44.0,0.9
10232,Michael Wilson,ARI,WR,CAR,2,3.0,,41.0,0.9
10232,Michael Wilson,ARI,WR,SF,3,2.7,,43.7,0.9
10232,Michael Wilson,ARI,WR,SEA,4,3.3,,50.7,1.0
10232,Michael Wilson,ARI,WR,TEN,5,4.0,,53.7,1.0
10232,Michael Wilson,ARI,WR,IND,6,5.0,,55.7,1.0
10232,Michael Wilson,ARI,WR,GB,7,4.3,,54.7,1.1
10232,Michael Wilson,ARI,WR,DAL,9,4.3,,55.0,1.2
10234,Derius Davis,LAC,WR,KC,1,,1.0,8.0,0.8
10234,Derius Davis,LAC,WR,DEN,3,,1.0,7.5,0.8
10235,Roschon Johnson,CHI,RB,WAS,6,,1.0,3.0,1.0
10235,Roschon Johnson,CHI,RB,NO,7,,1.0,2.0,1.0
10236,Dalton Kincaid,BUF,TE,BAL,1,4.0,,43.0,0.9
10236,Dalton Kincaid,BUF,TE,NYJ,2,5.0,,39.5,1.1
10236,Dalton Kincaid,BUF,TE,MIA,3,5.3,,37.3,1.2
10236,Dalton Kincaid,BUF,TE,NO,4,4.7,,30.3,1.2
10236,Dalton Kincaid,BUF,TE,NE,5,4.7,,30.7,1.3
10236,Dalton Kincaid,BUF,TE,CAR,8,3.7,,24.3,1.2
10236,Dalton Kincaid,BUF,TE,KC,9,5.0,,24.7,1.1
10444,Cedric Tillman,CLE,WR,CIN,1,8.0,,67.0,1.1
10444,Cedric Tillman,CLE,WR,BAL,2,7.5,,68.0,1.2
10444,Cedric Tillman,CLE,WR,GB,3,6.0,,61.7,1.1
10444,Cedric Tillman,CLE,WR,DET,4,4.0,,44.3,1.1
10859,Sam LaPorta,DET,TE,GB,1,9.0,,61.0,1.2
10859,Sam LaPorta,DET,TE,CHI,2,6.5,,55.5,1.2
10859,Sam LaPorta,DET,TE,BAL,3,5.7,,56.0,1.1
10859,Sam LaPorta,DET,TE,CLE,4,4.0,,54.3,1.0
10859,Sam LaPorta,DET,TE,CIN,5,4.7,,57.0,1.2
