playerID,playerName,team,position,opponent,last_week,rec_tgt_base,rush_att_base,off_snp_base,ease_base
10213,Tre Tucker,LV,WR,JAX,9,5.0,,49.7,0.9
10214,Davis Allen,LAR,TE,NO,9,2.3,,34.7,1.0
10218,Xavier Hutchinson,HOU,WR,DEN,9,5.0,,54.0,0.9
10219,Chris Rodriguez,WAS,RB,SEA,9,,5.3,11.0,1.0
10222,Jayden Reed,GB,WR,DET,1,5.0,,18.0,1.1
10226,Andrei Iosivas,CIN,WR,CHI,9,5.0,1.0,57.0,1.3
10228,Charlie Jones,CIN,WR,CHI,9,,,,1.3
10229,Rashee Rice,KC,WR,BUF,9,8.7,2.0,47.0,1.1
10231,Elijah Higgins,ARI,TE,DAL,9,2.0,,30.7,1.2
10232,Michael Wilson,ARI,WR,DAL,9,4.3,,55.0,1.2
10234,Derius Davis,LAC,WR,DEN,3,,1.0,7.5,0.8
10235,Roschon Johnson,CHI,RB,NO,7,,1.0,2.0,1.0
10236,Dalton Kincaid,BUF,TE,KC,9,5.0,,24.7,1.1
10444,Cedric Tillman,CLE,WR,DET,4,4.0,,44.3,1.1
10859,Sam LaPorta,DET,TE,MIN,9,5.7,,60.7,1.0
10867,Jake Bobo,SEA,WR,HOU,7,1.0,,13.0,0.9
10871,Luke Schoonmaker,DAL,TE,ARI,9,2.3,,20.7,1.2
11056,Jared Wayne,HOU,WR,SF,8,2.0,,,1.0
11065,Adrian Martinez,SF,QB,NYG,9,,1.0,1.0,1.1
11068,Mitch Tinsley,CIN,WR,CHI,9,1.7,,11.3,1.0
11157,Brycen Tremayne,CAR,WR,GB,9,2.0,,29.3,1.1
11168,Xavier Smith,LAR,WR,NO,9,2.3,,16.0,0.9
11199,Emari Demercado,ARI,RB,DAL,9,1.0,6.0,16.3,1.2
11201,Blake Whiteheart,CLE,TE,MIA,7,1.0,,28.5,1.3
11210,Malik Heath,GB,WR,CAR,9,1.7,,22.3,1.2
11237,Jacob Saylors,DET,RB,CLE,4,,2.0,4.0,0.7
11256,Tyson Bagent,CHI,QB,CIN,9,,2.0,6.0,1.2
11299,Zavier Scott,MIN,RB,LAC,8,1.5,3.7,9.7,0.9
11306,Xavier Gipson,PHI,WR,NYG,8,1.0,,5.0,1.3
11320,Nikko Remigio,KC,WR,NYG,3,1.0,1.0,3.5,1.0
11370,Chris Brooks,GB,RB,CAR,9,1.5,1.0,7.0,1.3
11371,Julian Hill,MIA,TE,CLE,7,3.3,,34.0,1.0
11377,Tyrell Shavers,BUF,WR,KC,9,2.7,,23.7,0.9
11421,Ryan Miller,TB,WR,DET,7,1.0,,13.5,0.9
11433,Nate Adkins,DEN,TE,NYG,7,2.7,,27.7,1.3
11435,Emanuel Wilson,GB,RB,CAR,9,2.3,7.7,22.3,0.9
11557,Joe Milton,DAL,QB,DEN,8,,,9.5,1.0
11559,Michael Penix,ATL,QB,NE,9,,2.0,63.7,1.1
11560,Caleb Williams,CHI,QB,CIN,9,2.0,4.0,70.7,1.1
11562,Spencer Rattler,NO,QB,TB,8,,3.0,48.0,1.2
11563,Bo Nix,DEN,QB,HOU,9,,3.0,67.7,1.1
11564,Drake Maye,NE,QB,ATL,9,,7.7,63.7,0.9
11565,J.J. McCarthy,MIN,QB,DET,9,,5.3,55.0,1.1
11566,Jayden Daniels,WAS,QB,SEA,9,,9.3,56.0,1.2
11570,Rasheen Ali,BAL,RB,BUF,1,,1.0,1.0,1.1
11571,Isaiah Davis,NYJ,RB,CIN,8,3.3,3.7,25.7,1.1
11574,Dylan Laube,LV,RB,KC,7,1.3,2.5,8.0,1.0
11575,Ray Davis,BUF,RB,CAR,8,1.5,5.5,7.7,1.0
11576,Braelon Allen,NYJ,RB,MIA,4,1.5,4.0,12.7,1.1
11577,Will Shipley,PHI,RB,NYG,8,1.5,2.0,8.0,1.1
11584,Bucky Irving,TB,RB,PHI,4,5.0,19.0,51.3,1.1
11586,Blake Corum,LAR,RB,NO,9,1.0,10.0,19.3,1.0
11589,Trey Benson,ARI,RB,SEA,4,5.0,7.0,33.7,1.0
11593,Brevyn Spann-Ford,DAL,TE,DEN,8,1.0,,14.7,1.1
11596,Ben Sinnott,WAS,TE,KC,8,1.0,,7.0,1.1
11597,Theo Johnson,NYG,TE,SF,9,5.7,,56.0,1.0
11599,Cade Stover,HOU,TE,LAR,1,4.0,,36.0,1.0
11600,Ja'Tavion Sanders,CAR,TE,GB,9,2.0,,32.0,0.8
11603,AJ Barner,SEA,TE,WAS,9,3.3,1.0,49.3,1.0
11604,Brock Bowers,LV,TE,JAX,9,8.0,1.0,49.0,1.1
11608,Isaiah Williams,NYJ,WR,CIN,8,4.0,1.0,15.5,1.0
11610,Malik Washington,MIA,WR,BAL,9,5.3,3.0,41.7,1.1
11617,Malachi Corley,CLE,WR,NE,8,2.0,1.0,9.7,1.0
11620,Rome Odunze,CHI,WR,BAL,8,7.0,,62.0,1.1
11623,Jordan Whittington,LAR,WR,JAX,7,3.7,,39.3,1.0
11624,Xavier Worthy,KC,WR,BUF,9,6.0,1.0,52.0,1.1
11625,Adonai Mitchell,NYJ,WR,,9,2.0,,21.0,0.9
11626,Xavier Legette,CAR,WR,GB,9,5.7,,47.7,1.0
11627,Troy Franklin,DEN,WR,HOU,9,9.3,2.0,46.7,1.1
11628,Marvin Harrison,ARI,WR,DAL,9,6.0,,43.3,1.2
11629,Devontez Walker,BAL,WR,DET,3,1.5,,10.0,1.2
11630,Roman Wilson,PIT,WR,IND,9,3.0,,30.3,1.1
11631,Brian Thomas,JAX,WR,LV,9,7.3,,54.7,1.0
11632,Malik Nabers,NYG,WR,LAC,4,7.7,,50.7,1.0
11633,Jamari Thrash,CLE,WR,NE,8,2.7,,28.3,1.2
11635,Ladd McConkey,LAC,WR,TEN,9,10.3,,51.3,1.0
11637,Keon Coleman,BUF,WR,KC,9,4.0,,46.7,0.8
11638,Ricky Pearsall,SF,WR,JAX,4,7.3,1.0,54.3,1.0
11643,Jaylen Wright,MIA,RB,ATL,8,1.0,9.0,11.0,1.0
11646,Jalen Coker,CAR,WR,GB,9,2.5,,39.0,1.1
11647,Kimani Vidal,LAC,RB,TEN,9,2.7,14.7,50.0,1.0
11650,Luke McCaffrey,WAS,WR,KC,8,2.0,,25.0,1.0
11655,Tyrone Tracy,NYG,RB,SF,9,3.5,8.0,28.7,1.0
1166,Kirk Cousins,ATL,QB,MIA,8,,2.0,32.5,1.0
11716,Tip Reiman,ARI,TE,SF,3,2.0,,33.5,1.1
11762,Anthony Gould,IND,WR,LAC,7,1.0,,39.0,0.8
11783,Ryan Flournoy,DAL,WR,ARI,9,3.3,1.0,39.0,0.9
11806,Casey Washington,ATL,WR,MIA,8,2.0,,16.3,1.0
11821,Tahj Washington,MIA,WR,BAL,9,2.0,,9.0,1.2
11834,Devaughn Vele,NO,WR,TB,8,2.7,,28.7,1.1
11959,Bryce Oliver,TEN,WR,DEN,1,1.0,,3.0,0.7
11994,Kameron Johnson,TB,WR,SF,6,4.0,1.0,16.5,1.0
12048,George Holani,SEA,RB,WAS,9,2.0,6.5,11.5,1.0
12062,Cam Grandy,CIN,TE,MIN,3,1.0,,12.0,1.1
12171,British Brooks,HOU,RB,BAL,5,,2.0,11.0,1.2
1234,Russell Wilson,NYG,QB,LAC,4,,4.0,43.0,1.0
12357,David Martin-Robinson,TEN,TE,LV,6,1.0,,9.0,1.0
12374,Brenden Bates,CLE,TE,MIN,5,2.0,,13.0,1.1
12412,Terrell Jennings,NE,RB,ATL,9,1.0,6.0,10.3,1.0
12455,Brashard Smith,KC,RB,BUF,9,3.0,6.7,16.3,1.1
12457,Jaydon Blue,DAL,RB,DEN,8,1.0,6.3,13.3,1.0
12469,Dylan Sampson,CLE,RB,NE,8,3.0,3.0,16.3,1.0
12470,Riley Leonard,IND,QB,TEN,8,,1.0,6.0,0.9
12471,DJ Giddens,IND,RB,LV,5,1.0,6.0,11.7,1.2
