playerID,playerName,team,position,pts_std,pts_ppr,pts_half_ppr,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec_tgt,rec,rec_yd,rec_td,off_snp,opponent
9487,Parker Washington,JAX,WR,5.9,5.9,5.9,,,,,,1.0,-1.0,,2.0,,,,58.0,SF
11584,Bucky Irving,TB,RB,20.5,25.5,23.0,,,,,,15.0,63.0,,5.0,5.0,102.0,1.0,44.0,PHI
6783,Jerry Jeudy,CLE,WR,4.8,7.8,6.3,,,,,,,,,9.0,3.0,48.0,,55.0,DET
9504,Kayshon Boutte,NE,WR,1.8,2.8,2.3,,,,,,,,,3.0,1.0,18.0,,34.0,CAR
12507,Omarion Hampton,LAC,RB,22.5,27.5,25.0,,,,,,12.0,128.0,1.0,5.0,5.0,37.0,,56.0,NYG
12493,Oronde Gadsden,LAC,TE,1.6,3.6,2.6,,,,,,,,,3.0,2.0,16.0,,30.0,NYG
7553,Kyle Pitts,ATL,TE,13.0,18.0,15.5,,,,,,,,,5.0,5.0,70.0,1.0,48.0,WAS
19,Joe Flacco,CIN,QB,3.3,3.3,3.3,34.0,16.0,184.0,,2.0,3.0,-1.0,,,,,,64.0,DEN
8698,Jake Tonges,SF,TE,11.8,14.8,13.3,,,,,,,,,5.0,3.0,58.0,1.0,45.0,JAX
11157,Brycen Tremayne,CAR,WR,3.6,6.6,5.1,,,,,,,,,4.0,3.0,36.0,,56.0,NE
3294,Dak Prescott,DAL,QB,31.0,31.0,31.0,40.0,31.0,319.0,3.0,,1.0,2.0,1.0,,,,,69.0,GB
421,Matthew Stafford,LAR,QB,27.4,27.4,27.4,41.0,29.0,375.0,3.0,,4.0,4.0,,,,,,75.0,IND
8134,Khalil Shakir,BUF,WR,12.9,17.9,15.4,,,,,,,,,5.0,5.0,69.0,1.0,31.0,NO
7828,Noah Gray,KC,TE,0.1,1.1,0.6,,,,,,,,,1.0,1.0,1.0,,41.0,BAL
5995,Justice Hill,BAL,RB,23.7,28.7,26.2,,,,,,3.0,76.0,1.0,6.0,5.0,41.0,1.0,32.0,KC
8138,James Cook,BUF,RB,19.5,22.5,21.0,,,,,,22.0,117.0,1.0,4.0,3.0,18.0,,43.0,NO
7049,Jauan Jennings,SF,WR,4.4,6.4,5.4,,,,,,,,,4.0,2.0,24.0,,48.0,JAX
8136,Rachaad White,TB,RB,4.6,8.6,6.6,,,,,,6.0,17.0,,5.0,4.0,29.0,,30.0,PHI
11610,Malik Washington,MIA,WR,2.1,4.1,3.1,,,,,,2.0,8.0,,3.0,2.0,13.0,,28.0,NYJ
4943,Sam Darnold,SEA,QB,16.1,16.1,16.1,26.0,18.0,242.0,1.0,,1.0,24.0,,,,,,66.0,ARI
829,Andy Dalton,CAR,QB,6.3,6.3,6.3,6.0,5.0,58.0,1.0,,,,,,,,,13.0,NE
11370,Chris Brooks,GB,RB,0.1,1.1,0.6,,,,,,,,,1.0,1.0,1.0,,5.0,DAL
8111,Cade Otton,TB,TE,0.9,3.9,2.4,,,,,,,,,4.0,3.0,9.0,,69.0,PHI
3269,Chris Moore,WAS,WR,0.9,0.9,0.9,,,,,,1.0,9.0,,3.0,,,,40.0,ATL
9488,Jaxon Smith-Njigba,SEA,WR,9.0,13.0,11.0,,,,,,3.0,11.0,,5.0,4.0,79.0,,53.0,ARI
11571,Isaiah Davis,NYJ,RB,2.7,4.7,3.7,,,,,,3.0,9.0,,2.0,2.0,18.0,,21.0,MIA
7526,Jaylen Waddle,MIA,WR,4.8,7.8,6.3,,,,,,,,,6.0,3.0,48.0,,52.0,NYJ
2197,Brandin Cooks,NO,WR,2.2,5.2,3.7,,,,,,,,,4.0,3.0,22.0,,60.0,BUF
5870,Daniel Jones,IND,QB,12.4,12.4,12.4,33.0,24.0,262.0,1.0,2.0,1.0,-1.0,,,,,,61.0,LAR
5844,T.J. Hockenson,MIN,TE,3.9,7.9,5.9,,,,,,,,,5.0,4.0,39.0,,71.0,PIT
12529,TreVeyon Henderson,NE,RB,10.6,12.6,11.6,,,,,,7.0,32.0,1.0,2.0,2.0,14.0,,15.0,CAR
6790,D'Andre Swift,CHI,RB,12.0,16.0,14.0,,,,,,14.0,38.0,1.0,6.0,4.0,22.0,,45.0,LV
1373,Geno Smith,LV,QB,12.8,12.8,12.8,21.0,14.0,117.0,2.0,3.0,4.0,31.0,,,,,,52.0,CHI
6768,Tua Tagovailoa,MIA,QB,15.7,15.7,15.7,25.0,17.0,177.0,2.0,,3.0,6.0,,,,,,58.0,NYJ
6130,Devin Singletary,NYG,RB,2.8,2.8,2.8,,,,,,7.0,28.0,,,,,,19.0,LAC
6904,Jalen Hurts,PHI,QB,19.4,19.4,19.4,24.0,15.0,130.0,2.0,,9.0,62.0,,,,,,57.0,TB
11635,Ladd McConkey,LAC,WR,1.1,2.1,1.6,,,,,,,,,6.0,1.0,11.0,,58.0,NYG
8154,Brian Robinson,SF,RB,2.1,2.1,2.1,,,,,,5.0,21.0,,,,,,10.0,JAX
11806,Casey Washington,ATL,WR,1.9,2.9,2.4,,,,,,,,,3.0,1.0,19.0,,34.0,WAS
6111,Jake Browning,CIN,QB,5.4,5.4,5.4,25.0,14.0,125.0,,,3.0,4.0,,,,,,48.0,DEN
11620,Rome Odunze,CHI,WR,12.9,16.9,14.9,,,,,,,,,8.0,4.0,69.0,1.0,52.0,LV
10232,Michael Wilson,ARI,WR,1.5,4.5,3.0,,,,,,,,,6.0,3.0,15.0,,65.0,SEA
6804,Jordan Love,GB,QB,26.3,26.3,26.3,43.0,31.0,337.0,3.0,,3.0,28.0,,,,,,83.0,DAL
8147,John Metchie,NYJ,WR,1.0,3.0,2.0,,,,,,,,,2.0,2.0,10.0,,5.0,MIA
7496,Nick Westbrook-Ikhine,MIA,WR,0.1,1.1,0.6,,,,,,,,,1.0,1.0,1.0,,27.0,NYJ
3634,Kalif Raymond,DET,WR,7.3,9.3,8.3,,,,,,,,,3.0,2.0,13.0,,33.0,CLE
4574,Cooper Rush,BAL,QB,2.1,2.1,2.1,13.0,9.0,52.0,,,,,,,,,,16.0,KC
4037,Chris Godwin,TB,WR,2.6,5.6,4.1,,,,,,,,,10.0,3.0,26.0,,58.0,PHI
8205,Isiah Pacheco,KC,RB,10.8,12.8,11.8,,,,,,7.0,35.0,,3.0,2.0,13.0,1.0,27.0,BAL
5185,Allen Lazard,NYJ,WR,0.8,1.8,1.3,,,,,,,,,1.0,1.0,8.0,,27.0,MIA
8110,Jake Ferguson,DAL,TE,10.0,17.0,13.5,,,,,,,,,7.0,7.0,40.0,1.0,54.0,GB
7842,Luke Farrell,SF,TE,,2.0,1.0,,,,,,,,,2.0,2.0,20.0,,32.0,JAX
4082,Curtis Samuel,BUF,WR,0.9,1.9,1.4,,,,,,,,,2.0,1.0,9.0,,20.0,NO
1339,Zach Ertz,WAS,TE,4.1,6.1,5.1,,,,,,,,,4.0,2.0,21.0,,35.0,ATL
11589,Trey Benson,ARI,RB,5.4,10.4,7.9,,,,,,8.0,35.0,,5.0,5.0,19.0,,37.0,SEA
10867,Jake Bobo,SEA,WR,1.7,2.7,2.2,,,,,,,,,1.0,1.0,17.0,,10.0,ARI
4046,Patrick Mahomes,KC,QB,27.3,27.3,27.3,37.0,25.0,270.0,4.0,,4.0,5.0,,,,,,67.0,BAL
3286,Demarcus Robinson,SF,WR,2.0,3.0,2.5,,,,,,,,,2.0,1.0,20.0,,25.0,JAX
11608,Isaiah Williams,NYJ,WR,-2.0,-2.0,-2.0,,,,,,,,,,,,,1.0,MIA
